aboiadinho	adj. | t.
aboiado	adj. | Pesc.
aboiar	v. t. | v. i. | Cf.
aboiar	v. t. | Açor.
aboiar	v. t. | Prov. minh. | Bras. | v. i.
aboio	m. | Bras.
aboís	f.
aboíz	f.
abolar	v. t.
abolar	v. t. | Ant.
aboldriar-se	v. p.
aboleimado	adj.
aboleimar	v. t.
aboleirar	v. t. | Prov. minh.
aboletamento	m.
aboletar	v. t.
abolição	f. | lat.
abolicionismo	m. | lat.
abolicionista	m. | lat.
abolimento	m.
abolinar	v. i.
abolir	v. t. | lat.
abolorecer	v. i.
abolorecido	adj.
abolório	m. | Ant. | Cp. | cast.
abómaso	m. | lat.
abomba	f. | Prov. alent. | Cf. | rev.
abombado	adj. | Bras.
abombar	v. | Bras.
abominábil	adj. | Ant. | V.
abominação	f. | lat.
abominadôr	m.
abominando	adj. | lat.
abominar	v. t. | lat.
abominário	m. | Ant.
abominável	adj. | lat.
abominavelmente	adv.
abomínio	m. | Cf.
abominosamente	adv.
abominoso	adj.
abonação	f.
abonadamente	adv.
abonado	adj.
abonador	m. e adj.
abonamento	m.
abonançar	v. t.
abonar	v. t. | Mús. | Ant.
abonatório	adj.
abonaxi	m.
abondança	f. | des. | Cf. | V.
abondar	v. t. | Prov. trasm.
abondo	adj. | Ant.
abonecado	adj. | Cf.
abono	m. | Mús. | Ant.
aboquejar	v. t. | Prov. trasm.
aboquejos	m. pl. | Prov. trasm. | Cp.
aborbitar	v. i. | Ant.
aborbulhar	v. i.
aborcar	v. t.
abordada	f.
abordador	m. e adj.
abordagem	f.
abordar	v. t.
abordar	v. t. | Gal. | fr.
abordável	adj.
abordo	m.
abordoar	v. t. | V. | p.
aborígine	adj. | m. | pl. | lat.
abornalar	v. t. | V.
aborrascar-se	v. p.
aborrecedor	m. e adj.
aborrecer	v. t.
aborrecidamente	adv.
aborrecido	adj.
aborrecimento	m.
aborrecível	adj.
aborregado	adj. | Geol. | Cf.
aborridamente	adv.
aborrido	adj.
aborrimento	m.
aborrir	v. t. | lat.
aborrível	adj.
aborso	m. | p. us. | p. | b. lat.
abortamento	m.
abortar	v. t. | v. i. | Ant. | lat.
abortício	adj.
abortífero	adj. | Cf.
abortivo	m. | Adj. | Cf. | lat.
abôrto	m. | lat.
abossadura	f.
abostelado	adj.
abostelar	v. i.
abostellado	adj.
abostellar	v. i.
abotinado	adj.
abotinar	v. t.
abotoação	m.
abotoadeira	f.
abotoado	adj.
abotoador	m.
abotoadura	f.
abotoar	v. t. | v. i. | V. | p. | Bras. | Cf. | fam.
abotocadura	f. | Náut. | as.
abotocar	v. t. | Náut.
aboucar	v. t. | Prov. trasm.
abougar	v. i. | t.
abouvila	f. | Ant.
abovila	f.
abovilla	f.
abra	f. | cast.
abraçada	f. | prov.
abracadabra	m.
abraçadeira	f.
abraçador	m.
abraçamento	m.
abraçar	v. | t. | ﬁg. | p. | f.
abrachia	f. | Cp.
